,"November 17, 2016",,,,
New Hampshire Department of Education,,,,,
Division of Program Support,,,,,
Bureau of Data Management,,,,,
"101 Pleasant Street, Concord, NH 03301-3852",,,,,
Telephone 271-3876/FAX 271-3875,,,,,
,,,,,
 Allocation For Special Education ADM-R In ,,,,,
Adequate Education Aid,,,,,
For FY2016,,,,,
,,,,,
,Allocation for Special Education,,,,
District Name,Pupils for Adequacy Aid,,,,
,,,,,
Albany," 11,533.48 ",,,,
Allenstown," 205,399.35 ",,,,
Alton," 206,644.66 ",,,,
Amherst," 273,948.82 ",,,,
Andover," 81,347.42 ",,,,
Ashland," 45,597.47 ",,,,
Auburn," 248,429.57 ",,,,
Barnstead," 223,465.91 ",,,,
Barrington," 486,149.48 ",,,,
Bartlett," 87,478.17 ",,,,
,,,,,
Bath," 22,722.10 ",,,,
Bedford," 976,475.52 ",,,,
Benton," 11,840.01 ",,,,
Berlin," 492,835.83 ",,,,
Bethlehem," 41,229.31 ",,,,
Bow," 291,459.78 ",,,,
Brentwood," 85,734.74 ",,,,
Brookline," 180,646.44 ",,,,
Campton," 98,264.46 ",,,,
Candia," 116,445.97 ",,,,
,,,,,
Chatham," 19,158.60 ",,,,
Chester," 257,817.28 ",,,,
Chesterfield," 98,571.00 ",,,,
Chichester," 95,773.84 ",,,,
Claremont," 700,151.04 ",,,,
Clarksville," 9,483.51 ",,,,
Colebrook," 56,211.33 ",,,,
Columbia," 17,242.74 ",,,,
Concord," 1,348,114.05 ",,,,
Con Val Reg.," 592,288.12 ",,,,
,,,,,
Conway," 388,076.60 ",,,,
Coos, -   ,,,,
Cornish," 64,966.81 ",,,,
Croydon," 23,794.98 ",,,,
Deerfield," 180,186.63 ",,,,
Derry," 1,666,970.63 ",,,,
Dover," 994,178.07 ",,,,
Dresden," 123,841.19 ",,,,
Dummer," 4,080.78 ",,,,
Dunbarton," 89,413.19 ",,,,
,,,,,
,,,,,
East Kingston," 44,179.73 ",,,,
Eaton," 5,747.58 ",,,,
Ellsworth," 3,831.72 ",,,,
Epping," 218,982.80 ",,,,
