,"August 8, 2011",,
New Hampshire Department of Education,,,
Division of Program Support,,,
Bureau of Data Management,,,
"101 Pleasant Street, Concord, NH 03301-3852",,,
Telephone 271-3876/FAX 271-3875,,,
,,,
 Allocation For Special Education ADM-R In ,,,
Adequate Education Aid,,,
For FY 12 & FY13,,,
,,,
,,,
,Allocation for Special Education,,
District,Pupils for Adequacy Aid,,
,,,
Albany                        ,"$27,580",,
Allenstown                    ,"$228,733",,
Alton                         ,"$209,394",,
Amherst                       ,"$338,441",,
Andover                       ,"$86,582",,
,,,
Ashland                       ,"$56,348",,
Auburn                        ,"$212,809",,
Barnstead                     ,"$204,271",,
Barrington                    ,"$460,566",,
Bartlett                      ,"$129,753",,
,,,
Bath                          ,"$19,896",,
Bedford                       ,"$802,386",,
Benton                        ,"$7,387",,
Berlin                        ,"$546,889",,
Bethlehem   ,"$41,741",,
,,,
Bow                           ,"$353,457",,
Brentwood                     ,"$118,543",,
Brookline                     ,"$182,798",,
Campton                       ,"$103,362",,
Candia                        ,"$145,139",,
,,,
Chatham                       ,"$17,521",,
Chester                       ,"$300,969",,
Chesterfield                  ,"$203,696",,
Chichester                    ,"$98,312",,
Claremont                     ,"$683,231",,
,,,
Clarksville                   ,"$4,547",,
Colebrook                     ,"$83,037",,
Columbia                      ,"$33,482",,
Concord                       ,"$1,347,122",,
Contoocook Valley,"$832,026",,
,,,
Conway                        ,"$383,617",,
Coos County,"$5,234",,
Cornish                       ,"$59,652",,
Croydon                       ,"$33,074",,
Deerfield                     ,"$213,217",,
,,,
Derry Coop     ,"$1,958,952",,
Dover                         ,"$733,436",,
Dresden,"$120,956",,
Dummer                        ,"$17,706",,
Dunbarton                     ,"$96,772",,
,,,
East Kingston                 ,"$45,473",,
Eaton                         ,"$3,712",,
Ellsworth                     ,$0,,
Epping                        ,"$293,137",,
Epsom                         ,"$125,169",,
,,,
Errol                         ,"$5,902",,
Exeter Regional Coop,"$863,688",,
Exeter                        ,"$290,520",,
Fall Mountain Regional,"$493,028",,
Farmington                    ,"$374,745",,
,,,
