,New Hampshire Department of Education,,,,
,Division of Program Support,,,,
,Bureau of Data Management,,,,
,101 Pleasant St,,,,
,"Concord, NH  03301-3860",,,,
,"Telephone   603 271-2778, FAX 603 271-3875",,,,
,,,,,
,,,,,
,Charter School Per Pupil Aid 2011-2012,,,,
,,,,,
, Grades 1-12 students @,," 5,450.00 ",,
,Kindergarten students @,,"$3,725.00 ",,
,,,,,
,,,FY2011-12,,
,,,Total ,FY2012,
DIST,Charter School Name,,ADM-A,Per Pupil Aid,
723,Academy of Science and Design Charter School,,281.42,"$1,533,739.00 ",
709,Cocheco Arts and Technology Charter Academy,,80.61,"$439,324.50 ",
719,CSI Charter School,,48.60,"$264,870.00 ",
703,Great Bay e-Learning Charter School,,138.98,"$757,441.00 ",
,Ledyard Charter Academy,,27.42,"$149,439.00 ",
707,North Country Charter Academy,,45.45,"$247,702.50 ",
,Pace Career Academy Charter School,,11.09,"$60,440.50 ",
715,Seacoast Charter School *,,223.62,"$1,188,213.75 ",
705,Strong Foundations Charter School,,171.79,"$936,255.50 ",
721,Surry Village Charter School *,,80.57,"$451,052.00 ",
,Virtual Learning Academy Charter School **,,591.61,"$3,224,280.00 ",
717,,,,,
,Total,,"1,701.2","$9,252,757.75 ",
,,,,,
,Notes:  * Includes Kindergarten ADM,,,,
,              ** VLACS aid capped per MOU for FY2011-12,,,   ,
,,,,,
,Differentiated Aid,,,,
,,,,,
,Cocheco Arts and Technology Charter Academy,,,"$24,771.00 ",
,CSI Charter School,,,"$12,627.00 ",
,Great Bay e-Learning Charter School,,,"$64,463.25 ",
,Ledyard Charter Academy,,,"$2,449.50 ",
,North Country Charter Academy,,,"$48,196.50 ",
,Pace Career Academy Charter School,,,"$8,607.75 ",
,Seacoast Charter School,,,"$17,876.25 ",
,Strong Foundations Charter School,,,"$29,640.00 ",
,Surry Village Charter School ,,,"$46,303.50 ",
,,,,,
,Total,,,"$254,934.75 ",
,,,,,
,EQUAL OPPORTUNITY EMPLOYER - EQUAL EDUCATION OPPORTUNITIES,,,,
,,,,,
,#175   14.00,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
