,New Hampshire Department of Education,,,,
,Division of Program Support,,,,
,Bureau of Data Management,,,,
,101 Pleasant St,,,,
,"Concord, NH  03301-3860",,,,
,"Telephone   603 271-2778, FAX 603 271-3875",,,,
,,,,,
,,,,,
,Charter School Per Pupil Aid 2014-2015,,,,
,,,,,
,,,,,
,,,,,
,,,FY2014-15,,
,,,Total ,FY2014-15,FY2014-15
DIST,Charter School Name,,ADM-A,Per Pupil Aid,Differentiated Aid
, ,,,,
723,Academy of Science and Design Charter School,,488.35,"$2,685,094.81 ","$18,750.89 "
709,Cocheco Arts and Technology Charter Academy,,66.59,"$366,131.80 ","$36,627.20 "
719,CSI Charter School,,48.16,"$264,798.13 ","$10,897.20 "
,Founders Academy Charter School,,101.86,"$560,056.84 ","$12,786.29 "
,Gate City Charter School for the Arts,,138.19,"$723,007.96 ","$37,143.58 "
,Granite State Arts Academy Charter School,,54.75,"$301,031.93 ","$1,066.98 "
703,Great Bay e-Learning Charter School,,150.18,"$825,734.69 ","$78,484.36 "
,Ledyard Charter Academy,,34.08,"$187,382.06 ","$23,753.46 "
707,Making Community Connections (MC2) Charter School,,59.45,"$326,873.94 ","$44,811.70 "
715,Mill Falls Charter School,,144.54,"$751,800.14 ","$54,051.78 "
,Mountain Village Charter School,,39.00,"$214,433.70 ","$8,470.45 "
,Next Charter School ,,44.50,"$244,674.35 ","$26,569.59 "
705,North Country Charter Academy,,39.52,"$217,292.82 ","$48,381.49 "
721,Pace Career Academy Charter School,,31.86," 175,175.84 ","$25,227.31 "
,Polaris Charter School,,101.77,"$559,561.99 ","$23,537.48 "
,Robert Frost Charter School,,83.61,"$431,726.46 ","$14,094.35 "
,Seacoast Charter School,,245.05,"$1,317,325.51 ","$40,155.16 "
,Strong Foundations Charter School,,212.48,"$1,168,278.78 ","$61,369.31 "
,Surry Village Charter School,,94.25,"$498,974.13 ","$55,946.94 "
,TEAMS Charter School,,23.01,"$126,515.88 ","$9,550.36 "
,The Birches Academy of Academics & Arts,,193.62,"$1,064,580.85 ","$18,913.64 "
,,,,,
,Total,,"2,394.82","$13,010,452.59 ","$650,589.52 "
,,,,,
,Virtual Learning Academy Charter School,,"1,062.43","$5,927,137.87 ",Not Applicable
717,,,,,
,Total Aid,,,"$18,937,590.46 ","$650,589.52 "
, ,,,   ,
,EQUAL OPPORTUNITY EMPLOYER - EQUAL EDUCATION OPPORTUNITIES,,,,
,,,,,
,,,,,
,#175   14.00,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
