,New Hampshire Department of Education,,,,
,Division of Program Support,,,,
,Bureau of Data Management,,,,
,101 Pleasant St,,,,
,"Concord, NH  03301-3860",,,,
,"Telephone   603 271-2778, FAX 603 271-3875",,,,
,,,,,
,,,,,
,Charter School Per Pupil Aid 2012-2013,,,,
,,,,,
,,,,,
,,,,,
,,,FY2012-13,,
,,,Total ,FY2013,FY2013
DIST,Charter School Name,,ADM-A,Per Pupil Aid,Differentiated Aid
, ,,,,
723,Academy of Science and Design Charter School,,408.00,"$2,223,600.00 ","$1,242.00 "
709,Cocheco Arts and Technology Charter Academy,,67.00,"$365,150.00 ","$12,437.25 "
719,CSI Charter School,,58.28,"$317,626.00 ","$10,470.75 "
703,Great Bay e-Learning Charter School,,153.73,"$837,828.50 ","$64,377.00 "
,Ledyard Charter Academy,,35.77,"$194,946.50 ","$5,364.75 "
707,Making Community Connections (MC2) Charter School,,56.17,"$306,126.50 ","$47,458.50 "
715,Mill Falls Charter School *,,82.41,"$449,134.50 ","$7,425.00 "
705,North Country Charter Academy,,43.80,"$238,710.00 ","$42,831.00 "
721,Pace Career Academy Charter School,,20.09,"$120,990.00 ","$15,180.00 "
,Polaris Charter School,,59.47,"$324,111.50 ",$795.75 
,Robert Frost Charter School,,41.05,"$223,722.50 ","$1,350.00 "
,Seacoast Charter School *,,257.19,"$1,401,685.50 ","$20,435.25 "
,Strong Foundations Charter School,,214.21,"$1,167,444.50 ","$46,160.25 "
,Surry Village Charter School *,,80.99,"$482,370.50 ","$56,550.00 "
,TEAMS Charter School,,12.77,"$69,596.50 ","$12,075.00 "
,The Birches Academy of Academics & Arts,,87.21,"$475,294.50 ","$2,013.75 "
,Total,,"1,678.14","$9,198,337.50 ","$346,166.25 "
,,,,,
,Virtual Learning Academy Charter School **,,698.00,"$3,805,980.00 ",Not Applicable
,,,,,
,Total Aid,,,"$13,004,317.50 ","$346,166.25 "
,,,,,
717,*    Includes Kindergarten programs ,,,,
,**  Funding for VLACS is tied to an MOU,,,,
, ,,,   ,
,,,,,
,,,,,
,,,,,
,EQUAL OPPORTUNITY EMPLOYER - EQUAL EDUCATION OPPORTUNITIES,,,,
,,,,,
,#175   14.00,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
