,"May 10, 2010",,
New Hampshire Department of Education,,,
Division of Program Support,,,
Bureau of Data Management,,,
"101 Pleasant Street, Concord, NH 03301-3852",,,
Telephone 271-2831/FAX 271-3875,,,
,,,
 Allocation For Special Education ADM-R In ,,,
Adequate Education Aid,,,
For FY 10 & FY11,,,
,,,
,,,
,Allocation for Special Education,,
District,Pupils for Adequacy Aid,,
,,,
Albany                        ,"$36,637",,
Allenstown                    ,"$234,598",,
Alton                         ,"$188,384",,
Amherst                       ,"$346,812",,
Andover                       ,"$79,344",,
,,,
Ashland                       ,"$29,603",,
Auburn                        ,"$209,617",,
Barnstead                     ,"$174,594",,
Barrington                    ,"$454,089",,
Bartlett                      ,"$127,600",,
,,,
Bath                          ,"$22,458",,
Bedford                       ,"$713,187",,
Benton                        ,"$5,401",,
Berlin                        ,"$520,831",,
Bethlehem   ,"$35,301",,
,,,
Bow                           ,"$315,631",,
Brentwood                     ,"$74,036",,
Brookline                     ,"$104,697",,
Campton                       ,"$103,082",,
Candia                        ,"$163,681",,
,,,
Chatham                       ,"$17,910",,
Chester                       ,"$192,801",,
Chesterfield                  ,"$165,165",,
Chichester                    ,"$100,577",,
Claremont                     ,"$692,399",,
,,,
Clarksville                   ,"$7,851",,
Colebrook                     ,"$81,998",,
Columbia                      ,"$26,337",,
Concord                       ,"$1,318,502",,
Contoocook Valley,"$977,722",,
,,,
Conway                        ,"$368,639",,
Coos County,"$2,079",,
Cornish                       ,"$68,041",,
Croydon                       ,"$29,251",,
Deerfield                     ,"$218,563",,
,,,
Derry Coop     ,"$1,741,206",,
Dover                         ,"$678,813",,
Dresden,"$101,802",,
Dummer                        ,"$26,838",,
Dunbarton                     ,"$85,209",,
,,,
East Kingston                 ,"$37,528",,
Eaton                         ,$0,,
Ellsworth                     ,$0,,
Epping                        ,"$275,078",,
Epsom                         ,"$133,354",,
,,,
Errol                         ,"$5,568",,
Exeter Regional Coop,"$766,604",,
Exeter                        ,"$312,309",,
Fall Mountain Regional,"$466,227",,
Farmington                    ,"$305,609",,
,,,
