,,,,,,,,,,,,,,,,,
,Expenditures from,,Expenditures Over,,,,,,,,,,,,,,
District Name,3 1/2 - 10 times ,,10 times State Average,,Total,FY2015,FY2015 Proration,,,,,,,,,,
,State Average,,Student,,Expended,Entitlement,74.42799%,,,,,,,,,,
,Count,Cost,Count,Cost,,,,,,,,,,,,,
State Total,864,"$28,820,752.04 ",96,"$5,879,561.17 ","$76,271,298.80 ","$28,937,107.74 ","$21,537,307.66 ",,,,,,,,,,
Allenstown,,"$98,779.39 ",,"$74,107.29 ","$270,863.16 ","$153,130.80 ","$113,972.18 ",,,,,,,,,,
Alton,,"$17,276.98 ",,$0.00 ,"$66,265.22 ","$13,821.58 ","$10,287.13 ",,,,,,,,,,
Amherst,,"$433,993.67 ",,"$39,045.98 ","$913,933.79 ","$386,240.92 ","$287,471.35 ",,,,,,,,,,
Ashland,,"$7,165.57 ",,$0.00 ,"$56,153.81 ","$5,732.46 ","$4,266.55 ",,,,,,,,,,
Auburn,,"$211,565.22 ",,"$23,371.54 ","$577,854.43 ","$192,623.72 ","$143,365.96 ",,,,,,,,,,
Barrington,,"$301,823.52 ",,$0.00 ,"$987,658.86 ","$241,458.82 ","$179,712.94 ",,,,,,,,,,
Bedford,,"$667,796.99 ",,"$87,479.45 ","$2,616,829.49 ","$621,717.04 ","$462,731.50 ",,,,,,,,,,
Berlin,,"$71,158.11 ",,$0.00 ,"$169,134.59 ","$56,926.49 ","$42,369.24 ",,,,,,,,,,
Bow,,"$187,324.16 ",,$0.00 ,"$432,265.35 ","$149,859.33 ","$111,537.29 ",,,,,,,,,,
Brentwood,,"$79,278.18 ",,$0.00 ,"$128,266.42 ","$63,422.54 ","$47,204.12 ",,,,,,,,,,
Brookline,,"$259,954.27 ",,"$76,519.50 ","$645,863.89 ","$284,482.92 ","$211,734.92 ",,,,,,,,,,
Campton,,"$31,890.08 ",,$0.00 ,"$80,878.32 ","$25,512.06 ","$18,988.12 ",,,,,,,,,,
Candia,,"$122,452.12 ",,$0.00 ,"$367,393.31 ","$97,961.70 ","$72,910.92 ",,,,,,,,,,
Chester,,"$91,373.79 ",,"$21,386.25 ","$210,736.52 ","$94,485.28 ","$70,323.50 ",,,,,,,,,,
Chesterfield,,"$136,670.36 ",,"$5,535.38 ","$289,170.45 ","$114,871.67 ","$85,496.67 ",,,,,,,,,,
Chichester,,"$81,121.40 ",,$0.00 ,"$130,109.64 ","$64,897.12 ","$48,301.62 ",,,,,,,,,,
Claremont,,"$581,808.19 ",,"$44,805.57 ","$1,599,025.40 ","$510,252.13 ","$379,770.40 ",,,,,,,,,,
Columbia,,"$5,459.50 ",,$0.00 ,"$54,447.74 ","$4,367.60 ","$3,250.72 ",,,,,,,,,,
Concord,,"$556,266.46 ",,"$27,320.35 ","$1,465,375.10 ","$472,333.52 ","$351,548.34 ",,,,,,,,,,
Contoocook Valley,,"$580,389.38 ",,"$147,746.71 ","$1,364,983.19 ","$612,058.21 ","$455,542.63 ",,,,,,,,,,
Conway,,"$345,582.16 ",,"$150,368.95 ","$1,181,786.45 ","$426,834.68 ","$317,684.47 ",,,,,,,,,,
Cornish,,"$39,767.16 ",,$0.00 ,"$88,755.40 ","$31,813.73 ","$23,678.32 ",,,,,,,,,,
Croydon,,"$47,728.74 ",,$0.00 ,"$83,392.18 ","$38,182.99 ","$28,418.83 ",,,,,,,,,,
Deerfield,,"$23,945.57 ",,$0.00 ,"$219,898.52 ","$19,156.46 ","$14,257.77 ",,,,,,,,,,
Derry Cooperative,,"$1,264,028.08 ",,"$9,989.55 ","$3,396,305.69 ","$1,021,212.02 ","$760,067.58 ",,,,,,,,,,
Dover,,"$387,893.69 ",,$0.00 ,"$926,764.31 ","$310,314.95 ","$230,961.18 ",,,,,,,,,,
Dresden,,"$255,206.84 ",,"$104,842.62 ","$556,002.41 ","$309,008.09 ","$229,988.51 ",,,,,,,,,,
Dunbarton,,"$8,894.05 ",,$0.00 ,"$57,882.29 ","$7,115.24 ","$5,295.73 ",,,,,,,,,,
Epping,,"$213,425.10 ",,$0.00 ,"$605,331.01 ","$170,740.08 ","$127,078.41 ",,,,,,,,,,
Epsom,,"$30,625.90 ",,$0.00 ,"$79,614.14 ","$24,500.72 ","$18,235.39 ",,,,,,,,,,
Exeter Regional Cooperative,,"$488,297.98 ",,"$501,965.23 ","$1,597,638.98 ","$892,603.61 ","$664,346.93 ",,,,,,,,,,
Exeter,,"$166,426.04 ",,$0.00 ,"$342,862.08 ","$133,140.84 ","$99,094.05 ",,,,,,,,,,
Fall Mountain Regional,,"$287,924.92 ",,"$17,329.55 ","$609,814.35 ","$247,669.49 ","$184,335.42 ",,,,,,,,,,
Farmington,,"$237,228.85 ",,"$2,455.85 ","$631,590.61 ","$192,238.93 ","$143,079.57 ",,,,,,,,,,
Franklin,,"$292,388.55 ",,$166.78 ,"$635,473.00 ","$234,077.62 ","$174,219.27 ",,,,,,,,,,
Fremont,,"$67,178.32 ",,$0.00 ,"$116,166.56 ","$53,742.66 ","$39,999.58 ",,,,,,,,,,
Gilford,,"$242,020.78 ",,$0.00 ,"$976,844.35 ","$193,616.62 ","$144,104.96 ",,,,,,,,,,
Gilmanton,,"$36,910.01 ",,$0.00 ,"$183,874.72 ","$29,528.01 ","$21,977.10 ",,,,,,,,,,
Goffstown,,"$328,146.23 ",,"$194,743.22 ","$865,807.12 ","$457,260.20 ","$340,329.58 ",,,,,,,,,,
Goshen-Lempster Cooperative,,"$24,874.45 ",,$0.00 ,"$122,850.93 ","$19,899.56 ","$14,810.84 ",,,,,,,,,,
Governor Wentworth Regional,,"$184,585.76 ",,$0.00 ,"$478,515.19 ","$147,668.61 ","$109,906.78 ",,,,,,,,,,
Grantham,,"$30,769.52 ",,$0.00 ,"$128,746.00 ","$24,615.62 ","$18,320.91 ",,,,,,,,,,
Hampstead,,"$323,262.39 ",,"$208,776.25 ","$825,968.07 ","$467,386.16 ","$347,866.13 ",,,,,,,,,,
Hanover,,"$110,821.46 ",,$0.00 ,"$257,786.17 ","$88,657.17 ","$65,985.75 ",,,,,,,,,,
Haverhill Cooperative,,"$191,986.75 ",,$0.00 ,"$534,904.42 ","$153,589.40 ","$114,313.50 ",,,,,,,,,,
Hillsboro-Deering Cooperative,,"$133,315.32 ",,"$14,003.54 ","$295,807.10 ","$120,655.79 ","$89,801.68 ",,,,,,,,,,
Hinsdale,,"$135,199.00 ",,"$35,959.95 ","$465,088.38 ","$144,119.15 ","$107,264.99 ",,,,,,,,,,
Hollis,,"$164,145.26 ",,$0.00 ,"$393,625.76 ","$131,316.21 ","$97,736.01 ",,,,,,,,,,
Hollis/Brookline Cooperative,,"$558,896.69 ",,"$190,319.71 ","$1,337,075.26 ","$637,437.06 ","$474,431.59 ",,,,,,,,,,
Hooksett,,"$384,442.00 ",,"$127,124.30 ","$1,099,425.16 ","$434,677.90 ","$323,522.02 ",,,,,,,,,,
Hopkinton,,"$90,978.16 ",,"$14,375.69 ","$154,342.09 ","$87,158.22 ","$64,870.11 ",,,,,,,,,,
Hudson,,"$447,370.78 ",,"$78,260.58 ","$1,162,478.46 ","$436,157.20 ","$324,623.04 ",,,,,,,,,,
Inter-Lakes Cooperative,,"$41,772.78 ",,$0.00 ,"$90,761.02 ","$33,418.22 ","$24,872.51 ",,,,,,,,,,
Jaffrey-Rindge Cooperative,,"$352,279.47 ",,"$110,652.09 ","$840,434.93 ","$392,475.67 ","$292,111.75 ",,,,,,,,,,
John Stark Regional,,"$116,252.09 ",,"$180,138.02 ","$394,366.59 ","$273,139.69 ","$203,292.38 ",,,,,,,,,,
Kearsarge Regional,,"$429,270.27 ",,"$251,591.13 ","$1,170,743.78 ","$595,007.35 ","$442,852.01 ",,,,,,,,,,
Keene,,"$781,288.82 ",,"$59,352.14 ","$1,771,716.32 ","$684,383.20 ","$509,372.66 ",,,,,,,,,,
Laconia,,"$110,089.51 ",,$0.00 ,"$306,042.46 ","$88,071.61 ","$65,549.93 ",,,,,,,,,,
Lebanon,,"$422,802.35 ",,"$358,831.84 ","$1,222,528.33 ","$697,073.72 ","$518,817.96 ",,,,,,,,,,
Lincoln-Woodstock Cooperative,,"$165,774.68 ",,$0.00 ,"$263,751.16 ","$132,619.74 ","$98,706.21 ",,,,,,,,,,
Lisbon Regional,,"$39,319.48 ",,"$22,563.67 ","$77,387.93 ","$54,019.26 ","$40,205.45 ",,,,,,,,,,
Litchfield,,"$182,875.81 ",,$0.00 ,"$476,805.24 ","$146,300.65 ","$108,888.63 ",,,,,,,,,,
Londonderry,,"$713,069.92 ",,"$19,710.52 ","$1,549,786.68 ","$590,166.45 ","$439,249.03 ",,,,,,,,,,
Lyme,,"$47,432.01 ",,$0.00 ,"$96,420.25 ","$37,945.61 ","$28,242.15 ",,,,,,,,,,
Madison,,"$86,456.26 ",,$0.00 ,"$135,444.50 ","$69,165.01 ","$51,478.13 ",,,,,,,,,,
Manchester,,"$855,500.20 ",,"$38,475.71 ","$2,461,599.54 ","$722,875.87 ","$538,021.98 ",,,,,,,,,,
Marlow,,"$2,632.56 ",,$0.00 ,"$51,620.80 ","$2,106.05 ","$1,567.49 ",,,,,,,,,,
Mascenic Regional,,"$210,520.42 ",,"$7,739.94 ","$477,604.09 ","$176,156.27 ","$131,109.57 ",,,,,,,,,,
