,New Hampshire Department of Education,,,,,,,
,Office of School Finance,,,,,,,
,101 Pleasant St,,,,,,,
,"Concord, NH  03301-3860",,,,,,,
,"Telephone   603 271-3876, FAX 603 271-1953",,,,,,,
,,,,,,,,
,,,,,,,,
,Charter School Per Pupil Aid 2015-2016,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,FY2015-16,,,,,
,,,Total ,FY2015-16,FY2015-16,,,
DIST,Charter School Name,,ADM-A,Per Pupil Aid,Differentiated Aid,,,
, ,,,,,,,
723,Academy of Science and Design Charter School,,516.90,"$2,893,228.86 ","$12,393.18 ",,,
709,Cocheco Arts and Technology Charter Academy,,60.22,"$337,067.60 ","$44,017.17 ",,,
719,Compass Classical Academy,,47.89,"$244,994.10 ","$15,842.19 ",,,
703,CSI Charter School,,39.93,"$223,498.99 ","$12,339.77 ",,,
,Founders Academy Charter School,,195.30,"$1,093,146.83 ","$31,463.73 ",,,
707,Gate City Charter School for the Arts,,144.40,"$828,646.61 ","$45,450.20 ",,,
715,Granite State Arts Academy Charter School,,98.16,"$549,428.02 ","$10,327.65 ",,,
705,Great Bay e-Learning Charter School,,155.67,"$871,327.02 ","$74,058.73 ",,,
721,Ledyard Charter Academy,,38.52,"$215,606.84 ","$22,792.06 ",,,
,Making Community Connections - Keene,,62.98,"$352,516.06 ","$14,820.27 ",,,
,Making Community Connections (MC2) - Manchester,,65.16,"$364,718.11 ","$39,169.22 ",,,
,MicroSociety Academy Charter School of So. NH,,101.90,"$534,856.05 ","$34,435.07 ",,,
,Mill Falls Charter School,,155.98,"$897,494.29 ","$60,592.54 ",,,
,Mountain Village Charter School,,56.26,"$314,902.41 ","$11,504.43 ",,,
,Next Charter School ,,57.12,"$319,716.06 ","$40,384.69 ",,,
,North Country Charter Academy,,43.21,"$241,858.04 ","$48,575.59 ",,,
,Pace Career Academy Charter School,,34.84,"$195,008.89 ","$33,334.95 ",,,
,Polaris Charter School,,111.22,"$622,528.37 ","$25,057.35 ",,,
,Robert Frost Charter School,,74.50,"$397,783.62 ","$7,480.97 ",,,
,Seacoast Charter School,,211.98,"$1,151,359.66 ","$53,370.13 ",,,
,Strong Foundations Charter School,,216.62,"$1,212,480.63 ","$56,464.56 ",,,
,Surry Village Charter School,,92.92,"$501,401.71 ","$39,031.41 ",,,
,TEAMS Charter School,,27.87,"$155,995.91 ","$12,980.79 ",,,
,The Birches Academy of Academics & Arts,,208.90,"$1,194,719.83 ","$22,960.08 ",,,
,Virtual Learning Academy Charter School,,"1,217.52","$6,814,788.17 ","$22,133.23 ",,,
717,,,,,,,,
,Total,,"4,036.0","$22,529,072.70 ","$790,979.96 ",,,
, ,,,   ,,,,
,Total Special Ed Differentiated Aid to public school districts,,,,"$366,312.44 ",,,
,,,,,,,,
,,,,,,,,
,EQUAL OPPORTUNITY EMPLOYER - EQUAL EDUCATION OPPORTUNITIES,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,#175   14.00,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
