,New Hampshire Department of Education,,,,,,,
,Division of Program Support,,,,,,,
,Office of School Finance,,,,,,,
,101 Pleasant St,,,,,,,
,"Concord, NH  03301-3860",,,,,,,
,"Telephone   603 271-3876, FAX 603 271-1953",,,,,,,
,,,,,,,,
,,,,,,,,
,Charter School Per Pupil Aid 2016-2017,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,FY2016-17,,,,,
,,,Total ,FY2016-17,FY2016-17,,,
DIST,Charter School Name,,ADM-A,Per Pupil Aid,Differentiated Aid,,,
, ,,,,,,,
723,Academy of Science and Design Charter School,,519.41,"$3,426,688.01 ","$32,656.76 ",,,
709,Cocheco Arts and Technology Charter Academy,,65.28,"$430,669.79 ","$34,793.51 ",,,
719,Compass Classical Academy,,93.05,"$576,500.55 ","$80,377.64 ",,,
703,CSI Charter School,,37.34,"$246,342.06 ","$10,809.97 ",,,
,Founders Academy Charter School,,285.20,"$1,881,541.40 ","$39,125.09 ",,,
707,Gate City Charter School for the Arts,,168.85,"$1,079,636.30 ","$91,823.23 ",,,
715,Granite State Arts Academy Charter School,,123.84,"$817,005.92 ","$21,280.85 ",,,
705,Great Bay e-Learning Charter School,,149.17,"$984,114.77 ","$67,506.01 ",,,
721,Ledyard Charter Academy,,32.89,"$216,984.21 ","$29,772.13 ",,,
,Making Community Connections  Charter School - Keene,,84.86,"$559,844.33 ","$18,271.59 ",,,
,Making Community Connections Charter School - Manchester,,78.82,"$519,996.82 ","$61,632.26 ",,,
,MicroSociety Academy Charter School of So. NH,,138.04,"$940,591.85 ","$61,638.45 ",,,
,Mill Falls Charter School,,155.93,"$1,064,992.63 ","$55,383.03 ",,,
,Mountain Village Charter School,,68.32,"$450,725.49 ","$28,036.41 ",,,
,Next Charter School ,,62.74,"$413,912.72 ","$31,982.44 ",,,
,North Country Charter Academy,,40.31,"$265,935.95 ","$31,392.51 ",,,
,Pace Career Academy Charter School,,40.33,"$264,500.66 ","$31,962.31 ",,,
,Polaris Charter School,,110.87,"$731,439.32 ","$42,839.66 ",,,
,Robert Frost Charter School,,46.53,"$294,435.34 ","$11,523.00 ",,,
,Seacoast Charter School,,276.54,"$1,756,745.11 ","$85,008.84 ",,,
,Strong Foundations Charter School,,233.79,"$1,542,375.75 ","$81,519.59 ",,,
,Surry Village Charter School,,93.04,"$596,003.70 ","$33,754.56 ",,,
,TEAMS Charter School,,22.56,"$148,834.41 ","$12,642.47 ",,,
,The Birches Academy of Academics & Arts,,209.29,"$1,418,176.64 ","$24,905.62 ",,,
,Virtual Learning Academy Charter School,,"1,325.07","$7,450,000.00 ","$10,542.44 ",,,
717,,,,,,,,
,Total,,"4,462.1","$28,077,993.73 ","$1,031,180.37 ",,,
, ,,,   ,,,,
,,,,,,,,
,Total Special Ed Differentiated Aid to public school districts,,,,"$681,184.04 ",,,
,,,,,,,,
,,,,,,,,
,EQUAL OPPORTUNITY EMPLOYER - EQUAL EDUCATION OPPORTUNITIES,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,#175   14.00,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
