,,,,"August 16, 2007",,,
NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,,,,
DIVISION OF PROGRAM SUPPORT,,,,,,,
OFFICE OF SCHOOL BUILDING AID,,,,,,,
,,,,,,,
BUILDING AID DISTRIBUTION 2007-2008,,,,,,,
,,,,,,,
District,October ,April,FY2007,Total,,,
Name,Payment,Payment,Shortfall,Entitlement,,,
,,,,,,,
Winnacunnet Cooperative," 227,065.00 "," 227,065.00 "," 24,711.10 "," 478,841.10 ",,,
Winnisquam Regional," 330,563.28 "," 330,563.27 "," 37,561.58 "," 698,688.13 ",,,
,,,,,,,
,,,,,,,
 ,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
