FY06,,,,Targeted Aid for,FY06,,FY06,FY06,To raise,,
Statewide,FY03,Local,Enhanced,"SPED & F/R @ $3,917",Total,FY05,Transition,Formula,"$363,000,000 ",,
Enhanced,ADM-R,Equalization Aid,Equalization Aid,"LEP @ $1,000",Formula,Adequacy,to Reach,Grant,Enhanced,Total,
Ed Tax,,If Local Eval PP <,If Local Eval PP <,Trans @ $190 if,Education ,Grants,85%,plus,Educ Tax @,State Aid,
$2.840 ,K <= 0.5,State Average,State Average,Eval w Util PP & MFI,Grants,,of FY05,Transition,$2.840 ,for Education,
per thousand,,Including Utilities,Without Utilities,< 150% of average,,,Grant,,X 4/1/03 Eval,,
Windham,"2,150.5",0,0 ,0,0,"2,332,075","1,982,264","1,982,264","4,665,739","6,648,003",
Windsor,31.7,"15,189","9,221 ","65,170","89,580","50,682",0,"89,580","48,333","137,913",
Wolfeboro,926.3,0,0 ,0,0,0,0,0,"4,533,887","4,533,887",
Woodstock,196.5,0,0 ,"293,899","293,899","222,913",0,"293,899","573,958","867,857",
,,,,,,,,,,,
,,,,,,,,,,,
A&G Academy Grant,,,,,,,,,"1,808","1,808",
Bean's Grant,,,,,,,,,0,0,
Bean's Purchase,,,,,,,,,42,42,
Chandler's Purchase,,,,,,,,,79,79,
Crawford's Purchase,,,,,,,,,367,367,
Cutt's Grant,,,,,,,,,0,0,
Erving's Location,,,,,,,,,250,250,
Green's Grant,,,,,,,,,"9,657","9,657",
Hadley's Purchase,,,,,,,,,0,0,
Kilkenny,,,,,,,,,0,0,
Livermore,,,,,,,,,232,232,
Low & Burbank's Grant,,,,,,,,,0,0,
Sargent's Purchase,,,,,,,,,"8,465","8,465",
Second College Grant,,,,,,,,,"3,849","3,849",
Thomas & Merserve's Purchase,,,,,,,,,"14,056","14,056",
