,"December 28, 2007",
New Hampshire Department of Education,,
Division of Program Support,,
Bureau of Data Management,,
"101 Pleasant Street, Concord, NH 03301-3852",,
Telephone 271-2831/FAX 271-3875,,
,,
 Allocation For Special Education ADM-R In ,,
Adequate Education Aid,,
For FY 08 & FY09,,
,,
,Allocation for Special Education,
District,Pupils for Adequacy Aid,
,,
Albany                        ,"$108,991",
Allenstown                    ,"$509,582",
Alton                         ,$0,
Amherst                       ,$0,
Andover                       ,"$173,562",
,,
Ashland                       ,"$64,572",
Auburn                        ,"$439,253",
Barnstead                     ,"$359,463",
Barrington                    ,"$845,191",
Bartlett                      ,$0,
,,
Bath                          ,"$67,039",
Bedford                       ,$0,
Benton                        ,"$23,443",
Berlin                        ,"$808,682",
Bethlehem   ,"$65,381",
,,
Bow                           ,"$478,488",
Brentwood                     ,"$140,259",
Brookline                     ,"$178,611",
Campton                       ,"$275,149",
Candia                        ,"$329,028",
,,
Chatham                       ,"$52,233",
Chester                       ,"$510,266",
Chesterfield                  ,"$420,744",
Chichester                    ,"$177,515",
Claremont                     ,"$1,301,781",
,,
Clarksville                   ,"$34,334",
Colebrook                     ,"$136,972",
Columbia                      ,"$51,136",
Concord                       ,"$2,902,027",
Contoocook Valley,"$1,902,780",
,,
Conway                        ,"$805,707",
Coos County,$0,
Cornish                       ,"$161,635",
Croydon                       ,"$75,677",
Deerfield                     ,"$457,669",
,,
Derry Coop     ,"$3,588,665",
Dover                         ,"$1,650,487",
Dresden,$0,
Dummer                        ,"$30,435",
Dunbarton                     ,"$152,998",
,,
East Kingston                 ,"$59,636",
Eaton                         ,$0,
Ellsworth                     ,$0,
Epping                        ,"$512,873",
Epsom                         ,"$267,369",
,,
Errol                         ,$0,
Exeter Regional Coop,"$1,682,242",
Exeter                        ,"$529,324",
Fall Mountain Regional,"$1,067,065",
Farmington                    ,"$757,998",
,,
Franklin                      ,"$797,481",
Freedom                       ,$0,
Fremont                       ,"$333,116",
Gilford                       ,$0,
Gilmanton                     ,"$384,140",
,,
Goffstown                     ,"$1,282,422",
