New Hampshire Department of Education,,,,,,,,
Division of Career Technology and Adult Learning,,,,,,,,
Bureau of Career Development,,,,,,,,
,,,,,,,,
School Year 2012-2013 CTE Tuition and Transportation Distribution,,,,,,,,
,,,,,,,,
DISTRICT NAME,TUITION PAYMENT,TRANS PAYMENT,TOTAL PAYMENT,,,,,
State Total," 6,763,193.88 "," 659,425.12 "," 7,422,619.00 ",,,,,
Bath," 16,159.45 "," 2,173.28 "," 18,332.73 ",,,,,
Bedford, -   ," 8,787.00 "," 8,787.00 ",,,,,
Benton," 6,463.78 ", 924.12 ," 7,387.90 ",,,,,
Berlin," 64,099.12 ", -   ," 64,099.12 ",,,,,
Bow, -   ," 8,787.60 "," 8,787.60 ",,,,   ,
Claremont," 4,847.84 "," 5,642.00 "," 10,489.84 ",,,,,
Colebrook," 11,311.61 ", 554.40 ," 11,866.01 ",,,,,
Concord*," 1,060,043.85 ", -   ," 1,060,043.85 ",,,,,
Contoocook Valley," 88,876.95 "," 5,275.50 "," 94,152.45 ",,,,,
Dover," 231,618.73 "," 8,868.80 "," 240,487.53 ",,,,,
Dresden," 16,159.45 ", 961.20 ," 17,120.65 ",,,,,
Epping, -   ," 10,406.40 "," 10,406.40 ",,,,,
Exeter Region Cooperative," 1,100,996.86 ", -   ," 1,100,996.86 ",,,,,
Fall Mountain Regional," 154,592.02 "," 26,281.00 "," 180,873.02 ",,,,,
Farmington, -   ," 17,544.00 "," 17,544.00 ",,,,,
Franklin, -   ," 10,930.20 "," 10,930.20 ",,,,,
Gilford, -   ," 7,693.60 "," 7,693.60 ",,,,,
Goffstown, -   ," 22,040.00 "," 22,040.00 ",,,,,
Gorham Randolph Shelburne Coop, -   ," 4,166.40 "," 4,166.40 ",,,   ,   ,   
Governor Wentworth Regional," 249,932.75 ", -   ," 249,932.75 ",,,,,
Haverhill Cooperative," 94,263.44 "," 13,228.04 "," 107,491.48 ",,,,,
Hillsboro-Deering Cooperative, -   ," 20,824.20 "," 20,824.20 ",,,,,
Hinsdale, -   , -   , -   ,,,,,
Hollis/Brookline Cooperative, -   ," 6,918.00 "," 6,918.00 ",,,,,
Hopkinton, -   ," 4,024.00 "," 4,024.00 ",,,,,
Hudson," 211,150.08 "," 2,497.00 "," 213,647.08 ",,,,,
Inter-Lakes Cooperative, -   ," 11,523.20 "," 11,523.20 ",,,,,
Jaffrey-Rindge Cooperative, -   ," 13,096.00 "," 13,096.00 ",,,,,
John Stark Regional, -   ," 14,826.00 "," 14,826.00 ",,,,,
Kearsarge Regional, -   ," 27,749.00 "," 27,749.00 ",,,,,
Keene," 228,748.73 ",," 228,748.73 ",,,,,
Laconia," 613,520.30 ", -   ," 613,520.30 ", ,,,,
Lebanon," 219,768.45 "," 10,554.24 "," 230,322.69 ", ,,,,
Lincoln-Woodstock Cooperative, -   ," 8,444.80 "," 8,444.80 ", ,,,,
Lisbon Regional, -   ," 9,548.00 "," 9,548.00 ", ,,,,
Litchfield, -   ," 2,178.00 "," 2,178.00 ", ,,,,
Littleton*," 262,446.73 "," 3,642.80 "," 266,089.53 ", ,,,,
Londonderry, -   ," 27,884.60 "," 27,884.60 ",,,,,
Lyme," 22,623.21 ", -   ," 22,623.21 ",,,,,
Manchester," 734,177.48 ", -   ," 734,177.48 ", ,,,,
Mascenic Regional," 28,548.38 "," 1,500.00 "," 30,048.38 ", ,,,,
Mascoma Valley," 131,430.17 "," 16,161.40 "," 147,591.57 ", ,,,,
Merrimack, -   ," 9,215.40 "," 9,215.40 ", ,,,,
Merrimack Valley, -   ," 18,322.80 "," 18,322.80 ", ,,,,
