,New Hampshire Department of Education,,,,
,Division of Program Support,,,,
,Office of School Finance,,,,
,101 Pleasant St,,,,
,"Concord, NH  03301-3860",,,,
,"Telephone   603 271-3876, FAX 603 271-1953",,,,
,,,,,
,,,,,
,Charter School Per Pupil Aid 2017-2018,,,,
,,,,,
,,,,,
,,,,,
,,,FY2017-18,,
,,,Total ,FY2017-18,FY2017-18
DIST,Charter School Name,,ADM-A,Per Pupil Aid,Differentiated Aid
, ,,,,
723,Academy of Science and Design Charter School,,514.17,"$3,559,115.59 ","$14,544.16 "
709,Cocheco Arts and Technology Charter Academy,,58.23,"$403,071.55 ","$36,079.52 "
719,CSI Charter School,,53.28,"$368,807.36 ","$9,519.15 "
703,Great Bay e-Learning Charter School,,139.56,"$966,042.69 ","$75,209.86 "
,Ledyard Charter Academy,,37.13,"$257,016.09 ","$45,691.40 "
707,Making Community Connections (MC2) Charter School - Manchester,,74.33,"$514,516.72 ","$78,396.79 "
715,Mill Falls Charter School,,167.95,"$1,118,963.62 ","$53,429.78 "
705,North Country Charter Academy,,39.59,"$274,044.36 ","$47,262.34 "
721,Pace Career Academy Charter School,,42.15,"$291,764.83 ","$59,788.22 "
,Polaris Charter School,,110.14,"$762,395.69 ","$44,522.82 "
,Robert Frost Charter School,,42.75,"$280,246.65 ","$33,083.96 "
,Seacoast Charter School,,297.50,"$1,990,354.97 ","$86,895.83 "
,Strong Foundations Charter School,,254.72,"$1,763,187.12 ","$116,756.68 "
,Surry Village Charter School,,90.99,"$610,676.20 ","$33,263.97 "
,Leaf Charter School,,17.23,"$119,267.09 ","$5,278.26 "
,The Birches Academy of Academics & Arts,,218.60,"$1,470,474.97 ","$31,790.71 "
,Next Charter School ,,65.32,"$452,148.96 ","$28,417.84 "
,Founders Academy Charter School,,311.31,"$2,154,906.50 ","$64,811.72 "
,Gate City Charter School for the Arts,,152.25,"$1,021,995.39 ","$77,814.59 "
,Granite State Arts Academy Charter School,,127.20,"$880,486.03 ","$30,630.00 "
,Mountain Village Charter School,,65.61,"$454,156.36 ","$32,472.97 "
,Compass Classical Academy,,109.50,"$728,422.58 ","$104,141.95 "
,Making Community Connections (MC2) Charter School - Keene,,78.92,"$546,288.98 ","$29,955.71 "
,MicroSociety Academy Charter School of So. NH,,189.84,"$1,243,435.22 ","$58,816.30 "
,Virtual Learning Academy Charter School,,"1,545.68","$8,833,282.98 ","$61,100.05 "
717,,,,,
,Totals,,"4,804.0","$31,065,068.50 ","$1,259,674.58 "
, ,,,   ,
,,,,,
,Total Special Ed. Differentiated Aid to public school districts,,,,"$716,836.76 "
,,,,,
,,,,,
,,,,,
,,,,,"$1,259,674.58 "
,,,,,
,,,,,
,EQUAL OPPORTUNITY EMPLOYER - EQUAL EDUCATION OPPORTUNITIES,,,,
,,,,,
,,,,,
,,,,,
,#175   14.00,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
