,"December 17,2021",
,New Hampshire Department of Education,
,Office of School Finance,
,"101 Pleasant Street, Concord, NH 03301-3852",
,Telephone 271-0073,
,,
, Allocation For Special Education ADM-R In ,
,Adequate Education Aid,
,For FY2021,
,,
Allocation for Special Education,,
Dist ID,District Name,Pupils for Adequacy Aid
,,
5,Albany,"33,951.69"
9,Allenstown,"199,313.10"
15,Alton,"235,812.67"
17,Amherst,"356,443.67"
19,Andover,"108,254.71"
23,Ashland,"61,119.47"
29,Auburn,"279,080.80"
31,Barnstead,"285,327.60"
33,Barrington,"494,009.21"
35,Bartlett,"92,424.11"
39,Bath,"36,765.54"
41,Bedford,"1,113,427.14"
47,Benton,"19,963.27"
51,Berlin,"472,944.78"
53,Bethlehem,"38,717.45"
57,Bow,"400,660.51"
63,Brentwood,"98,663.13"
71,Brookline,"172,176.65"
75,Campton,"88,638.41"
79,Candia,"149,257.87"
91,Chatham,"15,961.68"
93,Chester,"263,644.66"
95,Chesterfield,"95,947.45"
99,Chichester,"101,763.69"
101,Claremont,"633,614.85"
103,Clarksville,"9,976.05"
105,Colebrook,"92,150.97"
107,Columbia,"24,147.23"
111,Concord,"1,323,649.65"
112,Con Val Reg.,"702,149.51"
113,Conway,"346,773.68"
114,Coos,"1,995.21"
115,Cornish,"36,151.21"
117,Croydon,"30,925.16"
127,Deerfield,"266,809.06"
131,Derry,"2,026,684.64"
141,Dover,"1,450,966.59"
142,Dresden,"135,737.93"
147,Dummer,"5,985.63"
149,Dunbarton,"182,374.76"
153,East Kingston,"31,923.36"
159,Eaton,"9,388.66"
162,Ellsworth,"1,995.21"
165,Epping,"294,471.65"
167,Epsom,"166,066.32"
171,Errol, -   
172,Exeter Reg Coop,"787,070.43"
173,Exeter,"256,329.02"
174,Fall Mountain Reg,"502,848.39"
175,Farmington,"343,378.43"
185,Franklin,"418,272.43"
187,Freedom,"48,915.57"
189,Fremont,"195,356.00"
191,Gilford,"284,674.17"
195,Gilmanton,"121,183.07"
199,Goffstown,"832,379.27"
203,G-R-S Coop,"172,782.59"
204,Goshen,"30,571.61"
208,Governor Wentworth Reg.,"620,084.33"
211,Grantham,"93,712.82"
215,Greenland,"103,813.97"
222,Hale's Location, -   
223,Hampstead,"427,243.89"
225,Hampton,"290,569.21"
227,Hampton Falls,"58,386.82"
233,Hanover,"175,543.96"
