,,"December 15, 2006"
,New Hampshire Department of Education,
,Division of Program Support,
,Bureau of Information Services,
,"101 Pleasant Street, Concord, NH 03301-3860",
,Telephone 271-2831/FAX 271-3875,
,,
, Allocation For Special Education Adm In ,
,The Equitable Education Aid,
,For FY 06 & FY07,
,"Per Pupil Targeted Aid Amount $3,917",
,,
,,Allocation for Special Education
,District,Pupils for Equitable Aid *
,,
,Albany                        ,"$103,801"
,Allenstown                    ,"$485,316"
,Alton                         ,$0
,Amherst                       ,$0
,Andover                       ,"$165,297"
,,
,Ashland                       ,"$61,497"
,Auburn                        ,"$418,336"
,Barnstead                     ,"$342,346"
,Barrington                    ,"$804,944"
,Bartlett                      ,$0
,,
,Bath                          ,"$63,847"
,Bedford                       ,$0
,Benton                        ,"$22,327"
,Berlin                        ,"$611,444"
,Bethlehem   ,"$75,206"
,,
,Bow                           ,"$369,765"
,Brentwood                     ,"$135,528"
,Brookline                     ,"$150,413"
,Campton                       ,"$262,047"
,Candia                        ,"$313,360"
,,
,Chatham                       ,"$49,746"
,Chester                       ,"$450,063"
,Chesterfield                  ,"$400,709"
,Chichester                    ,"$166,081"
,Claremont                     ,"$1,243,256"
,,
,Clarksville                   ,"$21,544"
,Colebrook                     ,"$115,943"
,Columbia                      ,"$45,437"
,Concord                       ,"$2,763,835"
,Contoocook Valley,"$1,824,540"
,,
,Conway                        ,"$767,340"
,Coos County,$0
,Cornish                       ,"$153,938"
,Croydon                       ,"$72,073"
,Deerfield                     ,"$486,491"
,,
,Derry Coop     ,"$4,096,007"
,Dover                         ,"$1,571,892"
,Dresden,$0
,Dummer                        ,"$28,986"
,Dunbarton                     ,"$145,712"
,,
,East Kingston                 ,"$56,796"
,Eaton                         ,$0
,Ellsworth                     ,$0
,Epping                        ,"$488,450"
,Epsom                         ,"$254,997"
,,
,Errol                         ,$0
,Exeter Regional Coop,"$1,551,133"
,Exeter                        ,"$504,118"
,Fall Mountain Regional,"$1,068,557"
,Farmington                    ,"$721,903"
,,
,Franklin                      ,"$759,506"
