,,Expenditures from,,,,,,,,,,,,
,,3 1/2 - 10 times ,,Expenditures Over,,,,,,,,,,
,District Name,State Average,,10 times State Average,,Total,FY2014,FY2014 Proration,,,,,,
,,Student,,Student,,Expended,Entitlement,75.4820%,,,,,,
,,Count,Cost,Count,Cost,,,,,,,,,
,State Wide:,909," $29,135,060.97 ",100," $6,549,794.02 "," $78,394,309.38 "," $29,857,842.80 "," $22,537,296.91 ",,,,,,
9,Allenstown,,"$125,135.29",,"$88,831.12","$384,540.16","$188,939.35"," $142,615.20 ",,,,,,
15,Alton,,"$22,094.80",,$0.00,"$69,650.77","$17,675.84"," $13,342.08 ",,,,,,
17,Amherst,,"$455,967.09",,"$6,952.95","$938,479.73","$371,726.62"," $280,586.69 ",,,,,,
19,Andover,,"$6,847.83",,$0.00,"$54,403.80","$5,478.26"," $4,135.10 ",,,,,,
29,Auburn,,"$38,670.12",,$0.00,"$181,338.03","$30,936.10"," $23,351.18 ",,,,,,
31,Barnstead,,"$4,277.53",,$0.00,"$51,833.50","$3,422.02"," $2,583.01 ",,,,,,
33,Barrington,,"$270,382.92",,$0.00,"$1,031,278.42","$216,306.34"," $163,272.35 ",,,,,,
41,Bedford,,"$796,056.24",,"$134,241.53","$3,022,760.40","$771,086.52"," $582,031.53 ",,,,,,
51,Berlin,,"$148,980.77",,$0.00,"$291,648.68","$119,184.62"," $89,962.93 ",,,,,,
57,Bow,,"$183,091.94",,"$26,964.17","$570,197.46","$173,437.73"," $130,914.27 ",,,,,,
71,Brookline,,"$118,316.61",,$0.00,"$213,428.55","$94,653.29"," $71,446.19 ",,,,,,
75,Campton,,"$29,747.08",,$0.00,"$77,303.05","$23,797.66"," $17,962.95 ",,,,,,
79,Candia,,"$72,552.97",,$0.00,"$215,220.88","$58,042.38"," $43,811.55 ",,,,,,
91,Chatham,,"$43,801.88",,$0.00,"$91,357.85","$35,041.50"," $26,450.03 ",,,,,,
93,Chester,,"$88,318.23",,"$51,630.20","$187,504.40","$122,284.78"," $92,303.00 ",,,,,,
95,Chesterfield,,"$88,883.05",,$0.00,"$183,994.99","$71,106.44"," $53,672.56 ",,,,,,
99,Chichester,,"$92,852.83",,$0.00,"$187,964.77","$74,282.26"," $56,069.74 ",,,,,,
101,Claremont,,"$633,431.17",,"$168,310.52","$1,537,484.84","$675,055.46"," $509,545.36 ",,,,,,
105,Colebrook,,"$3,405.81",,0,"$42,054.55","$2,724.65"," $2,056.62 ",,,,,,
111,Concord,,"$532,887.58",,"$68,429.92","$1,810,523.12","$494,739.98"," $373,439.64 ",,,,,,
