,"November 20, 2015",,,,
New Hampshire Department of Education,,,,,
Division of Program Support,,,,,
Bureau of Data Management,,,,,
"101 Pleasant Street, Concord, NH 03301-3852",,,,,
Telephone 271-3876/FAX 271-3875,,,,,
,,,,,
 Allocation For Special Education ADM-R In ,,,,,
Adequate Education Aid,,,,,
For FY2015,,,,,
,,,,,
,Allocation for Special Education,,,,
District Name,Pupils for Adequacy Aid,,,,
,,,,,
Albany," 14,698.26 ",,,,
Allenstown," 214,602.18 ",,,,
Alton," 193,881.58 ",,,,
Amherst," 266,206.07 ",,,,
Andover," 93,007.45 ",,,,
Ashland," 45,675.65 ",,,,
Auburn," 244,582.12 ",,,,
Barnstead," 209,803.13 ",,,,
Barrington," 491,667.28 ",,,,
Bartlett," 86,382.88 ",,,,
,,,,,
Bath," 15,206.40 ",,,,
Bedford," 923,374.67 ",,,,
Benton," 12,101.13 ",,,,
Berlin," 494,358.51 ",,,,
Bethlehem," 35,512.97 ",,,,
Bow," 309,642.17 ",,,,
Brentwood," 81,640.29 ",,,,
Brookline," 180,161.95 ",,,,
Campton," 106,783.54 ",,,,
Candia," 112,768.24 ",,,,
,,,,,
Chatham," 18,819.80 ",,,,
Chester," 153,249.63 ",,,,
Chesterfield," 117,077.98 ",,,,
Chichester," 89,356.41 ",,,,
Claremont," 754,448.14 ",,,,
Clarksville," 5,645.94 ",,,,
Colebrook," 71,665.80 ",,,,
Columbia," 19,930.17 ",,,,
Concord," 1,311,852.98 ",,,,
Con Val Reg.,"585,295.78",,,,
,,,,,
Conway," 390,586.13 ",,,,
Coos, -   ,,,,
Cornish," 63,102.79 ",,,,
Croydon," 32,294.78 ",,,,
Deerfield," 151,141.81 ",,,,
Derry," 1,663,256.28 ",,,,
Dover," 927,289.19 ",,,,
Dresden," 124,060.12 ",,,,
Dummer," 3,801.60 ",,,,
Dunbarton," 104,656.91 ",,,,
,,,,,
,,,,,
East Kingston," 40,462.57 ",,,,
Eaton," 3,763.96 ",,,,
Ellsworth," 1,881.98 ",,,,
