,New Hampshire Department of Education,,,,
,Division of Program Support,,,,
,Bureau of Data Management,,,,
,101 Pleasant St,,,,
,"Concord, NH  03301-3860",,,,
,"Telephone   603 271-2778, FAX 603 271-3875",,,,
,,,,,
,,,,,
,Charter School Per Pupil Aid 2010-2011,,,,
,,,,,
,,,,,
,,,,,
,,,FY2010-11,,
,,,Total ,FY2011,
DIST,Charter School Name,,ADM-A,Per Pupil Aid,
, ,,,,
723,Academy of Science and Design Charter School,,185.66,"$1,011,847.00 ",
709,Cocheco Arts and Technology Charter Academy,,71.14,"$387,713.00 ",
719,CSI Charter School,,35.11,"$191,349.50 ",
703,Great Bay e-Learning Charter School,,164.06,"$894,127.00 ",
,Ledyard Charter Academy,,34.76,"$189,442.00 ",
707,North Country Charter Academy,,43.34,"$236,203.00 ",
715,Seacoast Charter School,,170.64,"$929,988.00 ",
705,Strong Foundations Charter School,,131.65,"$717,492.50 ",
721,Surry Village Charter School,,82.87,"$451,641.50 ",
,Virtual Learning Academy Charter School,,537.66,"$2,930,247.00 ",
717,,,,,
,Total,,"1,456.9","$7,940,050.50 ",
, ,,,   ,
,,,,,
,Differentiated Aid - Free and Reduced ,,,,
,,,,,
,Cocheco Arts and Technology Charter Academy,,,"$61,393.82 ",
,CSI Charter School,,,$534.44 ,
,Great Bay e-Learning Charter School,,,"$141,583.78 ",
,Ledyard Charter Academy,,,$555.99 ,
,North Country Charter Academy,,,"$149,523.00 ",
,Seacoast Charter School,,,"$2,586.00 ",
,Strong Foundations Charter School,,,"$5,499.56 ",
,Surry Village Charter School,,,"$142,950.75 ",
,,,,,
,Total,,,"$504,627.34 ",
,,,,,
,,,,,
,EQUAL OPPORTUNITY EMPLOYER - EQUAL EDUCATION OPPORTUNITIES,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,#175   14.00,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
